,marketCap
AI.PA,70741442560
AIR.PA,87033167872
ALO.PA,8996980736
MT.AS,21097521152
CS.PA,56733536256
BNP.PA,61803859968
EN.PA,11654233088
CAP.PA,32120504320
CA.PA,12668829696
ACA.PA,30367850496
BN.PA,35527553024
DSY.PA,55736274944
ENGI.PA,31416494080
EL.PA,71928651776
ERF.PA,14727727104
RMS.PA,144625549312
KER.PA,69530533888
OR.PA,193973862400
LR.PA,21616187392
MC.PA,349339877376
ML.PA,19419648000
ORA.PA,27592714240
RI.PA,48899325952
PUB.PA,12944482304
RNO.PA,8940261376
SAF.PA,47975469056
SGO.PA,23635052544
SAN.PA,108263088128
SU.PA,76149981184
GLE.PA,19501735936
STLA.PA,46869258240
STM.PA,33950410752
TEP.PA,18924605440
HO.PA,26507438080
TTE.PA,132131553280
URW.AS,8371813888
VIE.PA,17311574016
DG.PA,53774999552
VIV.PA,9655616512
WLN.PA,12387748864
